"《92》佛陀之恩澤,廣庇全天下(苑歌月曆–常樂1)"
"《202》與其教團擴展之樂,不如多一人得救之喜(苑歌月曆–常樂2)"
"《50》世人常發悲憫心,不知自己亦可憐(苑歌月曆–常樂3)"
"《43》家中佛壇乃佛所在,心中知此誠可貴(苑歌月曆–常樂4)"
"《143》每日凡事抱持祈念,作為菩提之糧誠可貴(苑歌月曆–常樂5)"
"《90》真誠雖肉眼無法得見,可通達佛界而得救度(苑歌月曆–常樂6)"
"《133》僅於觀念信仰會迷惑,付諸於實踐始能體悟(苑歌月曆–常樂7)"
"《95》人間寶外有寶,得遇教法誠尊貴(苑歌月曆–常樂8)"
"《132》世人應知信仰乃妙藥,使難忍之事得以容忍(苑歌月曆–常樂9)"
"《8》施予廣如大海之教法,為他人歡喜付出為善(苑歌月曆–常樂10)"
"《140》靈言乃啓示出離之道,應專心聽取用心體會(苑歌月曆–常樂11)"
"《196》為自己修行無法生信仰心,為他人付出可深植信仰心(苑歌月曆–常樂12)"
"《6》與其談論今日吉凶,不如反省當前作為(苑歌月曆–常樂13)"
"《221》眾生當知斬斷執著,才能切除深重因緣(苑歌月曆–常樂14)"
"《7》大海之教法千載難逢,得知常樂我淨真尊貴(苑歌月曆–常樂15)"
"《126》毀謗佛法與修行者如裂甕,法友將懼而遠之(苑歌月曆–常樂16)"
"《62》身處於煩憂世間,苑人應誠心利他(苑歌月曆–常樂17)"
"《22》訶責之語嚴厲卻慈悲,乃以煩惱者立場所言(苑歌月曆–常樂18)"
"《128》利用權力行使教化,徒有形式成果不(苑歌月曆–常樂19)"
"《77》利益乃誠心修行之福報,當知祈求而不修則是邪(苑歌月曆–常樂20)"
"《232》近善友者佳,絕愚人更上(苑歌月曆–常樂21)"
"《26》此時此刻琢磨尊貴佛性,能知當下即機會誠可貴(苑歌月曆–常樂22)"
"《115》敬仰常住佛尊,盡心侍奉者受信賴(苑歌月曆–常樂23)"
"《18》以濟度父母之心說法,此乃正道(苑歌月曆–常樂24)"
"《206》世人須知歡喜布施可積德,奉侍服務是磨鍊,度眾則兩者兼得(苑歌月曆–常樂25)"
